iteration,problem,metric,metric_display_name,seed,original_value,refactored_value,absolute_difference,relative_error
6,Problem 3,stage_E_station_utilization,Stage E utilization,20266383,0.553017191667589,0.26384814807645,0.289169043591139,0.5228934071998154
7,Problem 1,P_out,Overall pass probability,20267392,0.9942619371731317,0.9942619371731317,0.0,0.0
7,Problem 1,P_E,Stage E pass probability,20267392,0.999696590871277,0.999696590871277,0.0,0.0
7,Problem 1,P_G,Hidden defect pool probability,20267392,0.002816059012979877,0.002816059012979877,0.0,0.0
7,Problem 1,E_T_all,Expected total processing time (h),20267392,10.974604491842745,10.974604491842745,0.0,0.0
7,Problem 2,makespan_days,Makespan (days),20267392,59.40972222222222,60.239583333333336,0.8298611111111143,0.013968439509059084
7,Problem 2,qualified_count,Qualified robots,20267392,110.0,110.0,0.0,0.0
7,Problem 2,omission_probability,Omission probability,20267392,0.0,0.0,0.0,0.0
7,Problem 2,misjudgment_probability,Misjudgment probability,20267392,0.010526315789473684,0.012605042016806723,0.002078726227333039,0.1974789915966387
7,Problem 2,throughput_per_day,Throughput per day,20267392,1.8515488018702513,1.8260418467923223,0.025506955077928994,0.013776010144676928
7,Problem 2,stage_E_station_utilization,Stage E utilization,20267392,0.5510541614151289,0.2541382243891858,0.29691593702594304,0.5388144357052874
7,Problem 3,makespan_days,Makespan (days),20267392,31.510416666666668,31.458333333333332,0.0520833333333357,0.0016528925619835463
7,Problem 3,qualified_count,Qualified robots,20267392,113.0,112.0,1.0,0.008849557522123894
7,Problem 3,omission_probability,Omission probability,20267392,0.0,0.0,0.0,0.0
7,Problem 3,misjudgment_probability,Misjudgment probability,20267392,0.008350730688935281,0.012448132780082987,0.004097402091147706,0.4906639004149378
7,Problem 3,throughput_per_day,Throughput per day,20267392,3.5861157024793386,3.560264900662252,0.025850801817086655,0.0072085799683524274
7,Problem 3,stage_E_station_utilization,Stage E utilization,20267392,0.5138458003193703,0.27509208104315547,0.23875371927621486,0.4646407913187621
8,Problem 1,P_out,Overall pass probability,20268401,0.9952974458111021,0.9952974458111021,0.0,0.0
8,Problem 1,P_E,Stage E pass probability,20268401,0.9997182692590888,0.9997182692590888,0.0,0.0
8,Problem 1,P_G,Hidden defect pool probability,20268401,0.0022923330191354507,0.0022923330191354507,0.0,0.0
8,Problem 1,E_T_all,Expected total processing time (h),20268401,10.99285586735743,10.99285586735743,0.0,0.0
8,Problem 2,makespan_days,Makespan (days),20268401,61.239583333333336,60.40972222222222,0.8298611111111143,0.013551057436071946
8,Problem 2,qualified_count,Qualified robots,20268401,116.0,116.0,0.0,0.0
8,Problem 2,omission_probability,Omission probability,20268401,0.0,0.0,0.0,0.0
8,Problem 2,misjudgment_probability,Misjudgment probability,20268401,0.016494845360824743,0.018518518518518517,0.002023673157693775,0.12268518518518509
8,Problem 2,throughput_per_day,Throughput per day,20268401,1.8941996938254804,1.9202207150247155,0.026021021199235106,0.013737211173698204
8,Problem 2,stage_E_station_utilization,Stage E utilization,20268401,0.5767377303993616,0.2751155615412356,0.301622168858126,0.5229797756586307
8,Problem 3,makespan_days,Makespan (days),20268401,31.034722222222225,31.291666666666668,0.25694444444444287,0.008279257104497598
8,Problem 3,qualified_count,Qualified robots,20268401,110.0,110.0,0.0,0.0
8,Problem 3,omission_probability,Omission probability,20268401,0.0,0.0,0.0,0.0
8,Problem 3,misjudgment_probability,Misjudgment probability,20268401,0.014767932489451477,0.02109704641350211,0.006329113924050632,0.4285714285714285
8,Problem 3,throughput_per_day,Throughput per day,20268401,3.544417095547102,3.5153129161118506,0.029104179435251343,0.008211273857079435
8,Problem 3,stage_E_station_utilization,Stage E utilization,20268401,0.5408431725705272,0.2621590089833344,0.2786841635871928,0.5152772147657124
